Entity	Sentence	Uri	WikiTitle
Sotheby EntityMentionSEP New York EntityMentionSEP auction house EntityMentionSEP antiques EntityMentionSEP sports memorabilia EntityMentionSEP collectibles EntityMentionSEP	Sotheby 's   the New York auction house   said Tuesday that it will spend $ 25 million to launch sothebys.com   an Internet site where the public will be able to bid on antiques   art   jewelry   sports memorabilia and other collectibles .	Q2269199 NA NA NA Q287354	's WikiLabelSEP k City WikiLabelSEP  WikiLabelSEP memorabilia WikiLabelSEP able WikiLabelSEP
	The value of items on the virtual auction block initially will be capped at about $ 10 000 .		
	"More expensive items will be posted when imaging technology improves enough to give clear views of items from multiple angles . """		
	There 's no point in having a fuzzy image on a $ 100 000 item   '' said Susan Solomon   head of the new venture .		
online auction EntityMentionSEP baseball EntityMentionSEP	Sotheby 's first major online auction   planned for July   will feature baseball memorabilia .	Q177923 Q9927	auction WikiLabelSEP l WikiLabelSEP
	While online auction sites have become extremely popular   consumer groups say the sites have produced more consumer complaints than any other Internet category because of shoddy merchandise and other fraud .		
	Sotheby 's said it would only sell merchandise from the auction house itself or reputable art dealers .		
charge card EntityMentionSEP	And bids will only be accepted from customers who have registered their charge card numbers in advance .	Q295121	card WikiLabelSEP
Christie EntityMentionSEP	Officials at Christie 's   another leading New York auction house   said they were also considering an online auction site .	Q1273069	e's WikiLabelSEP
	LONDON : Nov. 26 .		
Courtney Walsh EntityMentionSEP West Indies EntityMentionSEP Caribbean News Agency EntityMentionSEP Lara EntityMentionSEP Hooper EntityMentionSEP	Word of the agreement leaked out when former captain Courtney Walsh   head of the West Indies players association   told the Caribbean News Agency that Lara and Hooper had been reinstated and the tour was going ahead .	NA NA NA Q4068349 Q7096561	y Walsh WikiLabelSEP dies cricket team WikiLabelSEP an News Agency WikiLabelSEP ara WikiLabelSEP oper WikiLabelSEP
West Indies Cricket Board EntityMentionSEP batsman EntityMentionSEP	The crisis came to a head last Wednesday when the West Indies Cricket Board fired superstar batsman Lara as captain and Hooper as vice-captain .	NA NA	dies Cricket Board WikiLabelSEP  (cricket) WikiLabelSEP
	The two had refused to travel to South Africa   demanding better pay and conditions for the tour .		
	Team members had insisted that Lara and Hooper be reinstated as part of any settlement .		
treasurer EntityMentionSEP negotiated EntityMentionSEP	Jimmy Adams   treasurer of the players ' assocation   negotiated on behalf of the players Monday with Rousseau .	NA NA	er WikiLabelSEP tion WikiLabelSEP
Ali Bacher EntityMentionSEP South African cricket EntityMentionSEP	Ali Bacher   head of South African cricket   also was directly involved in Monday 's talks after sitting on the sidelines Sunday .	Q1428920 Q258	her WikiLabelSEP  South Africa WikiLabelSEP
Clive Lloyd EntityMentionSEP Joel Garner EntityMentionSEP	West Indies tour manager Clive Lloyd and WICB member Joel Garner were also involved in the talks which began Friday .	Q1872676 NA	loyd WikiLabelSEP rner WikiLabelSEP
sponsorship EntityMentionSEP wicketkeeper EntityMentionSEP David Richardson EntityMentionSEP marketing EntityMentionSEP Johannesburg EntityMentionSEP	Progress was reported over the weekend with the announcement of a sponsorship deal offered by former South African wicketkeeper David Richardson   who runs a sports marketing firm in Johannesburg .	NA Q410891 NA Q225579 NA	 (commercial) WikiLabelSEP keeper WikiLabelSEP chardson WikiLabelSEP ng WikiLabelSEP sburg WikiLabelSEP
	Earnings from the sponsorship proposal would apparently help meet the players ' demands for better pay   which is reported to range from dlrs 15 000 to 60 000 for the South African tour .		
	( jp/sw )		
	Norwegian company moves ahead with clean power plant		
Norsk Hydro ASA EntityMentionSEP hydrogen EntityMentionSEP power plant EntityMentionSEP electricity EntityMentionSEP emissions EntityMentionSEP	The Norsk Hydro ASA concern announced plans Friday to build a hydrogen - burning power plant that it says will produce electricity with virtually no climate-damaging emissions .	NA Q9937 NA Q515 NA	ydro WikiLabelSEP n WikiLabelSEP tation WikiLabelSEP city WikiLabelSEP lution WikiLabelSEP
state-owned company EntityMentionSEP Norwegian Water Resources and Energy Directorate EntityMentionSEP	The 51-percent state-owned company notified the Norwegian Water Resources and Energy Directorate of plans to build the plant   to be called HydroKraft   pending approval by government agencies .	NA NA	ent-owned corporation WikiLabelSEP an Water Resources and Energy Directorate WikiLabelSEP
	The company said if it receives the proper approvals in 1999   construction of the plant would be completed during 2002 and production startup would occur in early 2003 .		
	Earlier this year   the company announced a new technology that would allow it to use clean-burning hydrogen to generate electricity .		
natural gas EntityMentionSEP	The hydrogen for the plant would be extracted from natural gas .	Q11432	 gas WikiLabelSEP
petroleum EntityMentionSEP	Norsk Hydro   a major petroleum producer   now says studies have shown the proposal to be economically viable .	Q229057	um WikiLabelSEP
carbon dioxide EntityMentionSEP	It also said the plant 's carbon dioxide emissions would be 90 percent lower than plants using natural gas .	NA	dioxide WikiLabelSEP
Norway EntityMentionSEP	Norway is the world 's second-largest oil exporter   and also produces vast amounts of natural gas from its offshore fields .	NA	 WikiLabelSEP
hydroelectric plants EntityMentionSEP	Virtually all of the country 's electricity now comes from hydroelectric plants .	NA	ectricity WikiLabelSEP
nitrogen EntityMentionSEP	Under the company 's plans   natural gas   air and water would be mixed to produce hydrogen   nitrogen and carbon dioxide .	Q9937	n WikiLabelSEP
Oslo EntityMentionSEP	Norsk Hydro wants to build the plant at Karmoey   an island about 500 kilometers ( 300 miles ) west of Oslo .	NA	 WikiLabelSEP
	German zoo hopes court will allow it to accept baby elephants		
Dresden EntityMentionSEP Zoo EntityMentionSEP Environment Minister Juergen Trittin 's EntityMentionSEP elephants EntityMentionSEP Africa EntityMentionSEP	The Dresden Zoo went to court Tuesday to challenge Environment Minister Juergen Trittin 's order forbidding the import of four baby elephants taken from the wild in Africa and abused .	NA NA Q9813	 WikiLabelSEP Trittin WikiLabelSEP t WikiLabelSEP
Cologne EntityMentionSEP	Zoo director Hubert Luecker said the complaint was filed with an administrative court in Cologne .	NA	 WikiLabelSEP
Erfurt EntityMentionSEP Germany EntityMentionSEP Botswana EntityMentionSEP South African EntityMentionSEP	The elephants   which were to be sent this month to the Dresden and Erfurt zoos in eastern Germany   were part of a group of 30 young elephants captured in August from herds in Botswana and taken to a South African farm .	NA Q9659 NA	 WikiLabelSEP a WikiLabelSEP frica WikiLabelSEP
	A South African judge ruled early this month that the animals had been abused and deprived of water at the farm .		
National Society for the Prevention of Cruelty to Animals EntityMentionSEP	He granted temporary custody to the National Society for the Prevention of Cruelty to Animals .	Q8425	Society WikiLabelSEP
Switzerland EntityMentionSEP	But while the judge approved the export of four baby elephants to Germany and three to Switzerland   Trittin last week said Germany would protest the abuse of animals by not accepting them in its zoos .	Q11081619	land WikiLabelSEP
	Others argue the elephants may face a worse fate if they do n't come to Germany .		
parliament EntityMentionSEP put to sleep EntityMentionSEP	Norbert Otto   a federal lawmaker from Erfurt   demanded in parliament Tuesday that Trittin take steps to prevent the animals from being put to sleep in South Africa .	NA Q100159	ag WikiLabelSEP euthanasia WikiLabelSEP
Saxony EntityMentionSEP	In addition   the cultural minister of Saxony   of which Dresden is the capital   asked the state 's 740 000 school children to write letters of protest urging Tritten to allow the elephants into Germany .	NA	 WikiLabelSEP
	( aet-pfg )		
	Airport ready for operation ; Palestinians await word from Israel		
Palestinian EntityMentionSEP airport EntityMentionSEP Civil Aviation EntityMentionSEP Israeli EntityMentionSEP	The new Palestinian airport   a powerful symbol of fledgling independence   is ready to open   the head of the Palestinian Civil Aviation Authority said Friday after an operations drill with Israeli officials .	NA NA NA Q9956	nian people WikiLabelSEP  WikiLabelSEP viation WikiLabelSEP s WikiLabelSEP
Yasser Arafat International Airport EntityMentionSEP Gaza Strip EntityMentionSEP Israeli-Palestinian peace agreement EntityMentionSEP	Yasser Arafat International Airport in the southern Gaza Strip was to have opened last week as part of the Israeli-Palestinian peace agreement .	NA Q1201346 NA	Arafat International Airport WikiLabelSEP rip WikiLabelSEP -Palestinian conflict WikiLabelSEP
	However   Israel fell behind schedule when it held up Cabinet ratification of the accord by two weeks .		
	Prime Minister Benjamin Netanyahu has said the airport would start operating next week   but has not set a date .		
Civil Aviation Authority EntityMentionSEP	On Thursday   Israeli and Palestinian officials staged a four-hour drill   said Fayez Zeidan   head of the Palestinian Civil Aviation Authority .	NA	l aviation authority WikiLabelSEP
Israelis EntityMentionSEP security EntityMentionSEP	About 100 Palestinian airport employees and 50 Israelis who will share security duties played the roles of passengers and airport personnel .	Q9956 Q9973	s WikiLabelSEP y WikiLabelSEP
bus EntityMentionSEP	"For lack of a plane   the "" passengers '' arrived by bus ."	NA	 WikiLabelSEP
	Zeidan said the exercise covered arrival and departure procedures   including passport checks as well as customs and luggage inspection .		
	"He said the airport was ready for operation . """		
	We just need to hear from the Israelis   '' Zeidan said .		
	sa-kl		
	REPEATING Protectively		
Iran EntityMentionSEP the Hague EntityMentionSEP Radio Free Europe EntityMentionSEP	Iran will protest to the International Court of Justice at the Hague and other global bodies about the U.S.-funded Radio Free Europe   the Iran Daily reported Monday .	NA NA NA	 WikiLabelSEP ue WikiLabelSEP ree Europe/Radio Liberty WikiLabelSEP
Foreign Minister EntityMentionSEP Kamal Kharrazi EntityMentionSEP	"It quoted Foreign Minister Kamal Kharrazi as saying the radio "" was set up to interfere in Iran 's internal affairs . ''"	Q346786 NA	 minister WikiLabelSEP harazi WikiLabelSEP
	It did not say when the complaints will be filed .		
ICJ EntityMentionSEP the Netherlands EntityMentionSEP	The English-language daily also did not say which organizations Iran will approach besides the ICJ in the Netherlands .	NA NA	tional Court of Justice WikiLabelSEP ands WikiLabelSEP
Prague EntityMentionSEP Czech EntityMentionSEP	On Tuesday   Iran recalled its ambassador from Prague to protest the Czech government 's assistance to the radio and said it would reduce the level of its economic and political cooperation with Prague .	NA NA	 WikiLabelSEP epublic WikiLabelSEP
Iraq EntityMentionSEP	The American-sponsored station also began broadcasts directed to Iraq on Friday .	NA	 WikiLabelSEP
	In a trial period of several weeks   the station will broadcast one 30-minute program a day to Iran and Iraq .		
Farsi EntityMentionSEP	The Farsi - language service to Iran was approved by the Czech government in August .	Q315	 language WikiLabelSEP
Munich , Germany EntityMentionSEP Soviet EntityMentionSEP Iron Curtain EntityMentionSEP Cold War EntityMentionSEP Communist EntityMentionSEP	Radio Free Europe began transmitting from Munich   Germany   in 1951   spreading uncensored news to Soviet - controlled countries behind the Iron Curtain during the Cold War between the West and the Communist East .	NA Q227388 NA Q9852 NA	 WikiLabelSEP Union WikiLabelSEP rtain WikiLabelSEP r WikiLabelSEP sm WikiLabelSEP
	It moved its headquarters to Prague in 1995 following the collapse of communism six years earlier .		
	ti/vj		
New Zealand EntityMentionSEP	Stolen painting in New Zealand recovered   one man arrested	Q11081619	land WikiLabelSEP
Auckland Art Gallery EntityMentionSEP	A 19th-century painting worth U.S. dlrs 1 million stolen from Auckland Art Gallery nine days ago has been recovered   police said Monday .	NA	d Art Gallery WikiLabelSEP
Jacques-Joseph ( James ) Tissot EntityMentionSEP	"Senior Sgt. Gary Allcock said he understood that one person had been arrested over the theft of the 1874 oil   "" Still on Top   '' by French-born artist Jacques-Joseph ( James ) Tissot   one of New Zealand 's most expensive and popular European works ."	NA	issot WikiLabelSEP
	He said details would be disclosed later .		
shotgun EntityMentionSEP Auckland EntityMentionSEP	The painting valued at up to U.S. dlrs 1 million was stolen Aug. 9 by a man armed with a shotgun in a daring robbery at the Auckland Art Gallery .	NA Q9884	 WikiLabelSEP d WikiLabelSEP
crowbar EntityMentionSEP	The man   clad in black and wearing a motorcycle helmet   dark visor and gloves   burst through the main door with a sawed-off shotgun and a crowbar .	NA	 (tool) WikiLabelSEP
firearm EntityMentionSEP	"Museum official Kate Darrow said the man ran through the Grey Gallery waving a firearm and yelling "" get down   '' and "" keep back '' to staff and patrons ."	NA	 WikiLabelSEP
	She said the man appeared to know where he was going and went to the Lower Wellesley Gallery   where the painting was displayed .		
	The gunman grabbed the painting off the wall and dropped it on the ground .		
	He then used the crowbar to remove the canvas from the frame and take it off the backing board .		
Albert Park EntityMentionSEP	The robber left through the main entrance and skirted behind the gallery into Albert Park   pursued by a member of the public .	NA	Park, Auckland WikiLabelSEP
	He was believed to have climbed on a motorcycle and escaped via a nearby highway .		
strategy EntityMentionSEP	Interpol needs to revamp strategy to keep abreast of crime	Q9973	y WikiLabelSEP
Interpol EntityMentionSEP crime syndicates EntityMentionSEP	Interpol must modernize if it wants to effectively fight increasingly sophisticated crime syndicates in the next century   the police organization 's president said Thursday .	Q9927 NA	l WikiLabelSEP ed crime WikiLabelSEP
	"The criminal environment has changed at a "" much greater pace '' than Interpol   Toshinori Kanemoto told the opening session of the 67th general assembly of the International Criminal Police Organization ."		
organized crime EntityMentionSEP	"A failure to modernize Interpol could mean the organization "" risks being displaced against a backdrop of international organized crime   '' he said ."	NA	ed crime WikiLabelSEP
	Kanemoto said a new Interpol strategy will be discussed at the six-day assembly and   if adopted   would be put into effect next January .		
terrorism EntityMentionSEP illegal drug trade EntityMentionSEP money laundering EntityMentionSEP	"The former Japanese police official said the assembly also will discuss terrorism   which he called one of the "" new forms of criminality   '' as well as the illegal drug trade and money laundering ."	NA Q5308924 NA	sm WikiLabelSEP  drug trade WikiLabelSEP aundering WikiLabelSEP
evidence EntityMentionSEP	With crime becoming increasingly sophisticated   Kanemoto said   it has become harder for police officials to gather evidence for prosecution .	Q9907	e WikiLabelSEP
	He said these new challenges require increased cooperation   particularly through Interpol .		
strategic development plan EntityMentionSEP	The police officials are expected to discuss a strategic development plan aimed at making Interpol more proactive by re-examining the needs of the group 's 177-member states   Kanemoto said .	NA	ic planning WikiLabelSEP
	Details of   graf 8 pvs		
	O'Hare Closes Terminal for Security		
United Airlines EntityMentionSEP terminal EntityMentionSEP security EntityMentionSEP O'Hare International Airport EntityMentionSEP	CHICAGO ( AP ) -- United Airlines shut down a terminal for hours so authorities could search for a passenger who ran past a security checkpoint and disappeared into the crowd at O'Hare International Airport .	NA Q210481 Q2526135 NA	Airlines WikiLabelSEP  terminal WikiLabelSEP  security WikiLabelSEP International Airport WikiLabelSEP
	United spokeswoman Kristina Price said 131 flights were canceled Thursday and more than 100 were delayed nationwide because of the incident .		
	About 6 000 passengers were cleared from the terminal during the search   airline officials said .		
	Eighty more flights were canceled today and numerous others were delayed as the effects of the shutdown lingered   Price said   adding that the carrier hoped to be back to a normal schedule by this afternoon .		
	The man was not found and Chicago police said officers turned up nothing suspicious .		
concourse EntityMentionSEP baggage claim EntityMentionSEP	He was leaving a concourse and heading toward the baggage claim area when he turned back and ran up a one-way staircase leading to the concourse   United spokesman Matthew Triaca said .	NA Q1094717	se WikiLabelSEP  claim WikiLabelSEP
	Guards are stationed at the staircase   but the man ran past them .		
	No United flights left the terminal during the search and only a few landed at other United gates .		
	Some flights resumed by early evening .		
U.S. EntityMentionSEP	Iran to complain about U.S. - radio at the Hague tribunal	NA	States WikiLabelSEP
Iran EntityMentionSEP the Hague EntityMentionSEP Radio Free Europe EntityMentionSEP	Iran will protest to the International Court of Justice at the Hague and other global bodies about the U.S.-funded Radio Free Europe   the Iran Daily reported Monday .	NA NA NA	 WikiLabelSEP ue WikiLabelSEP ree Europe/Radio Liberty WikiLabelSEP
Kamal Kharrazi EntityMentionSEP	"It quoted Foreign Minister Kamal Kharrazi as saying the radio "" was set up to interfere in Iran 's internal affairs . ''"	NA	harazi WikiLabelSEP
	It did not say when the complaints will be filed .		
ICJ EntityMentionSEP the Netherlands EntityMentionSEP	The English-language daily also did not say which organizations Iran will approach besides the ICJ in the Netherlands .	NA NA	tional Court of Justice WikiLabelSEP ands WikiLabelSEP
Prague EntityMentionSEP Czech EntityMentionSEP	On Tuesday   Iran recalled its ambassador from Prague to protest the Czech government 's assistance to the radio and said it would reduce the level of its economic and political cooperation with Prague .	NA NA	 WikiLabelSEP epublic WikiLabelSEP
Iraq EntityMentionSEP	The American-sponsored station also began broadcasts directed to Iraq on Friday .	NA	 WikiLabelSEP
	In a trial period of several weeks   the station will broadcast one 30-minute program a day to Iran and Iraq .		
Farsi EntityMentionSEP Czech government EntityMentionSEP	The Farsi - language service to Iran was approved by the Czech government in August .	Q315 NA	 language WikiLabelSEP s of the Czech Republic WikiLabelSEP
Munich , Germany EntityMentionSEP Soviet EntityMentionSEP Iron Curtain EntityMentionSEP Cold War EntityMentionSEP Communist EntityMentionSEP	Radio Free Europe began transmitting from Munich   Germany   in 1951   spreading uncensored news to Soviet - controlled countries behind the Iron Curtain during the Cold War between the West and the Communist East .	NA Q227388 NA Q9852 NA	 WikiLabelSEP Union WikiLabelSEP rtain WikiLabelSEP r WikiLabelSEP sm WikiLabelSEP
	It moved its headquarters to Prague in 1995 following the collapse of communism six years earlier .		
illegal art traffic EntityMentionSEP	International police seek to stymie illegal art traffic king	NA	ft WikiLabelSEP
Budapest EntityMentionSEP illegal traffic EntityMentionSEP	Police officers from 23 countries met in Budapest to seek more efficient ways to combat illegal traffic in art treasures   a police official said Thursday .	Q9813 Q225579	t WikiLabelSEP ng WikiLabelSEP
Interpol EntityMentionSEP International Police EntityMentionSEP East European EntityMentionSEP	"Held under the auspices of Interpol   the International Police Organization   the three-day closed meeting allowed the officers to make personal contact and to help their East European counterparts catch up . """	Q9927 NA Q46	l WikiLabelSEP Nations Police WikiLabelSEP  Europe WikiLabelSEP
France EntityMentionSEP Hungarian EntityMentionSEP	We have a five-member team working on illegal art traffic   and the group was set up only this April   while France has over 30 policemen in the same detail and with many years of experience   '' Hungarian police Col. Tamas Simon said .	NA NA	 WikiLabelSEP an people WikiLabelSEP
	Illegal art traffic is a growth industry .		
communism EntityMentionSEP forints EntityMentionSEP	In 1990   the year after communism collapsed   there were 702 registered cases in Hungary   and the total value of the stolen treasures was 71 million forints ( dlrs 340 000 in present terms ) .	NA NA	sm WikiLabelSEP an forint WikiLabelSEP
	"In 1993   there were in 1996   1 025 cases involving 430 million forints ( dlrs two million ) worth of stolen treasures . """		
	This is a special area of police work as stolen art may not appear for 30 years on the market   '' said Jean Pierre Jouanny   director of the French national bureau of Interpol .		
	Hungary is largely a transit country for stolen art   with the line of traffic moving from east to west .		
data base EntityMentionSEP network EntityMentionSEP art dealers EntityMentionSEP auctioneers EntityMentionSEP	Work is underway in cataloging the country 's art treasures   establishing a data base and a network of contacts among art dealers   auctioneers and museums .	Q9907 NA NA NA	e WikiLabelSEP eneurial network WikiLabelSEP ler WikiLabelSEP  WikiLabelSEP
	( ab/rp )		
	Nikhil Chakravarty   a top Indian political columnist   dead at 74		
India EntityMentionSEP journalist EntityMentionSEP	Nikhil Chakravarty   one of India 's best known journalist s   has died .	NA Q255248	 WikiLabelSEP ist WikiLabelSEP
	He was 74 .		
brain cancer EntityMentionSEP	Chakravarty was suffering from brain cancer and died in hospital on Saturday   his family said .	NA	umor WikiLabelSEP
Politics EntityMentionSEP Indian newspapers EntityMentionSEP	Politics was his forte and his columns appeared in leading Indian newspapers and magazines .	Q9956 NA	s WikiLabelSEP  newspapers in India WikiLabelSEP
	"Chakravarty also started a weekly news magazine   "" Mainstream   '' in 1962 and edited it for more than three decades ."		
Prasar Bharati EntityMentionSEP corporation EntityMentionSEP	Last year   the government appointed him chief of Prasar Bharati   an autonomous corporation set up to end government control of radio and television .	Q854828 NA	Bharati WikiLabelSEP tion WikiLabelSEP
	Chakravarty declined a top government award in 1990   saying no journalist should be identified with the governing establishment .		
Calcutta University EntityMentionSEP Oxford University 's Merton College EntityMentionSEP	He graduated from Calcutta University and studied at Oxford University 's Merton College in England .	NA NA	ity of Calcutta WikiLabelSEP College, Oxford WikiLabelSEP
journalism EntityMentionSEP Communist Party of India EntityMentionSEP	Chakravarty taught history at Calcutta University in the 1930s before taking to journalism as correspondent of a weekly brought out by the Communist Party of India .	NA NA	ism WikiLabelSEP st Party of India WikiLabelSEP
	He later joined the CPI and remained a member until 1978 .		
Indira Gandhi EntityMentionSEP	He closed the Mainstream weekly for a while when Prime Minister Indira Gandhi imposed emergency rule in India 1975-77   jailing political opponents and imposing censorship on newspapers and magazines .	NA	Gandhi WikiLabelSEP
	Chakravarty was born November 3   1913   in India 's northeastern state of Assam .		
German railway EntityMentionSEP	Lufthansa   German railway pledge closer cooperation	NA	ansport in Germany WikiLabelSEP
planes EntityMentionSEP trains EntityMentionSEP Germany EntityMentionSEP Lufthansa EntityMentionSEP	Seeking to shift some domestic travel from planes to trains   Germany 's flag carrier   Lufthansa   and the German railway signed a letter of intent Monday to work on coordinating services and schedules .	NA NA NA	ing aircraft WikiLabelSEP  WikiLabelSEP sa WikiLabelSEP
main hub EntityMentionSEP Frankfurt EntityMentionSEP	The goal is to make it easier to travel by train to Lufthansa 's main hub in Frankfurt   instead of flying there .	Q475436 NA	 hub WikiLabelSEP rt WikiLabelSEP
Cologne EntityMentionSEP landing slots EntityMentionSEP	Starting in 2001   Lufthansa boss Juergen Weber hopes to eliminate such short hops _ between Frankfurt and Cologne   for example _ thus freeing up takeoff and landing slots for more lucrative international flights .	NA Q437374	 WikiLabelSEP  slot WikiLabelSEP
Deutsche Bahn EntityMentionSEP	As part of the Lufthansa - Deutsche Bahn deal   passengers could check their luggage through at the train station for the Lufthansa flight they will catch at Frankfurt .	NA	e Bahn WikiLabelSEP
	The service is already in place at Saarbruecken   although travelers must drop their bags off the day before .		
Bonn EntityMentionSEP Wuerzburg EntityMentionSEP	Starting in September   the service will be extended to five other cities : Duesseldorf   Cologne   Bonn   Wuerzburg and Nuremberg .	NA Q9739	 WikiLabelSEP g WikiLabelSEP
United EntityMentionSEP SAS EntityMentionSEP	Passengers flying on Lufthansa partners United and SAS would also be able to use the service   he said .	NA NA	Airlines WikiLabelSEP avian Airlines WikiLabelSEP
