Entity	Sentence	Uri	WikiTitle
Jean Pucelle EntityMentionSEP	It was commissioned from the artist Jean Pucelle between 1324 and 1328   probably as a gift from her husband Charles IV .	Q3933	celle WikiLabelSEP
Canonical hours EntityMentionSEP St Louis EntityMentionSEP	The book contains the usual prayers of the Canonical hours as arranged for the laity along with the notable inclusion of the office dedicated to St Louis   her great-grandfather .	NA NA	al hours WikiLabelSEP X of France WikiLabelSEP
enamel EntityMentionSEP	The small statue of the Virgin and Child ( and enamel   69 cm high )   which Jeanne left to the monastery of outside Paris   is in the .	NA	s enamel WikiLabelSEP
château EntityMentionSEP Brie-Comte-Robert EntityMentionSEP	Jeanne d'Évreux died on 4 March 1371 in her château at Brie-Comte-Robert   in the region   some twenty miles south-east of Paris .	NA NA	 de Brie-Comte-Robert WikiLabelSEP mte-Robert WikiLabelSEP
Basilica of St Denis EntityMentionSEP	She was buried at the Basilica of St Denis	NA	a of St Denis WikiLabelSEP
Sculcoates EntityMentionSEP English EntityMentionSEP Rugby League World Cup EntityMentionSEP Great Britain EntityMentionSEP Hull EntityMentionSEP Wakefield Trinity EntityMentionSEP Hull Kingston Rovers EntityMentionSEP	"Robin "" Bob "" Coverdale ( birth registered October → December in Sculcoates district ) is an English professional Rugby League World Cup winning footballer of the 1950s and '60s   playing at representative level for Great Britain   and at club level for Hull   Wakefield Trinity   and Hull Kingston Rovers   as a   i.e. number 8 or 10   during the era of ."	NA Q2472587 NA NA Q5005972 NA NA	tes WikiLabelSEP  people WikiLabelSEP eague World Cup WikiLabelSEP ritain national rugby league team WikiLabelSEP C. WikiLabelSEP ld Trinity Wildcats WikiLabelSEP ngston Rovers WikiLabelSEP
Great Britain EntityMentionSEP 1954 Rugby League World Cup EntityMentionSEP	Bob Coverdale won caps for Great Britain while at Hull in the 1954 Rugby League World Cup against Australia   France   New Zealand   and France .	NA NA	ritain national rugby league team WikiLabelSEP gby League World Cup WikiLabelSEP
Great Britain EntityMentionSEP 1954 Rugby League World Cup EntityMentionSEP France EntityMentionSEP Parc des Princes EntityMentionSEP Paris EntityMentionSEP	Bob Coverdale played Right -   i.e. number 10 in all four of Great Britain 's 1954 Rugby League World Cup matches   including Great Britain ’s 16-12 victory over France in the 1954 Rugby League World Cup final at Parc des Princes   Paris on Saturday 13 November 1954 .	NA NA NA NA NA	ritain national rugby league team WikiLabelSEP gby League World Cup WikiLabelSEP national rugby league team WikiLabelSEP s Princes WikiLabelSEP  WikiLabelSEP
1953 -- 54 EntityMentionSEP 1954 -- 55 EntityMentionSEP 1955 -- 56 EntityMentionSEP Yorkshire Cup EntityMentionSEP	Bob Coverdale played in all three of Hull 's defeats in the 1953 -- 54   1954 -- 55   and 1955 -- 56 Yorkshire Cup	NA NA	 Northern Rugby Football League season WikiLabelSEP eague county cups WikiLabelSEP
Victoria EntityMentionSEP Australia EntityMentionSEP Melbourne EntityMentionSEP Gippsland EntityMentionSEP Sale EntityMentionSEP	The South Gippsland Highway is a partially divided highway in Victoria   Australia which connects the city of Melbourne with the South Gippsland region of Victoria   ending in the town of Sale .	NA NA NA NA NA	a (Australia) WikiLabelSEP ia WikiLabelSEP ne WikiLabelSEP nd WikiLabelSEP ictoria WikiLabelSEP
South Gippsland Freeway EntityMentionSEP	The highway begins with no route number   until the junction of Greens Road where it gains the Metropolitan Route 12 to Pound Road   before no route number is signed again until the South Gippsland Freeway / interchange where it becomes the M420 .	NA	ippsland Freeway WikiLabelSEP
Cranbourne EntityMentionSEP Bass Highway EntityMentionSEP	The M420 continues through Cranbourne and until the Bass Highway turnoff   which is then designated A440 onwards to Sale .	NA NA	rne, Victoria WikiLabelSEP ghway (Victoria) WikiLabelSEP
	From the Bass Highway junction   the highway is undivided .		
Wilsons Promontory EntityMentionSEP Phillip Island EntityMentionSEP	The South Gippsland Highway is the gateway from Melbourne to many attractions including Wilsons Promontory and Phillip Island as well as being an important road for farmers in Gippsland .	NA Q23442	 Promontory National Park WikiLabelSEP  Island WikiLabelSEP
Dandenong EntityMentionSEP Princes Highway EntityMentionSEP	The highway commences in Dandenong   branching from the Princes Highway   and heads in a general south-east direction at first .	NA Q269949	ng, Victoria WikiLabelSEP  Highway WikiLabelSEP
dual carriageway EntityMentionSEP Bass Highway EntityMentionSEP	It is mostly a dual carriageway with two lanes in either direction   until the Bass Highway turnoff to   after which it is entirely an undivided highway .	NA NA	rriageway WikiLabelSEP ghway (Victoria) WikiLabelSEP
Cranbourne EntityMentionSEP Tooradin EntityMentionSEP Lang Lang EntityMentionSEP Foster EntityMentionSEP Welshpool EntityMentionSEP Yarram EntityMentionSEP Sale EntityMentionSEP	It passes through the Cranbourne area   and then through or close to the Gippsland towns of Tooradin     Lang Lang         Foster   Welshpool and Yarram   before heading north to rejoin the Princes Highway at Sale	NA NA NA Q537094 NA NA	rne, Victoria WikiLabelSEP n, Victoria WikiLabelSEP ng, Victoria WikiLabelSEP  Victoria WikiLabelSEP ol, Victoria WikiLabelSEP ictoria WikiLabelSEP
open source EntityMentionSEP cross-platform EntityMentionSEP Microsoft Windows EntityMentionSEP NTFS EntityMentionSEP	NTFS-3G is an open source cross-platform implementation of the Microsoft Windows NTFS file system with read-write support .	NA NA NA NA	urce WikiLabelSEP latform WikiLabelSEP ft Windows WikiLabelSEP  WikiLabelSEP
FUSE EntityMentionSEP operating system EntityMentionSEP	NTFS-3G often uses the FUSE   so it can run unmodified on many different operating system s .	NA NA	tem in Userspace WikiLabelSEP ng system WikiLabelSEP
Linux EntityMentionSEP FreeBSD EntityMentionSEP NetBSD EntityMentionSEP OpenSolaris EntityMentionSEP BeOS EntityMentionSEP QNX EntityMentionSEP Nucleus EntityMentionSEP VxWorks EntityMentionSEP Haiku EntityMentionSEP MorphOS EntityMentionSEP	It is runnable on Linux   FreeBSD   NetBSD   OpenSolaris   BeOS   QNX     Nucleus   VxWorks   Haiku   MorphOS   and .	NA NA NA NA	 WikiLabelSEP  (operating system) WikiLabelSEP  RTOS WikiLabelSEP operating system) WikiLabelSEP
GNU General Public License EntityMentionSEP	It is licensed under either the GNU General Public License or a proprietary license .	NA	eral Public License WikiLabelSEP
fork EntityMentionSEP ntfsprogs EntityMentionSEP	It is a partial fork of ntfsprogs and is under active maintenance and development .	NA NA	oftware development) WikiLabelSEP gs WikiLabelSEP
	NTFS-3G was introduced by one of the senior Linux NTFS developers   Szabolcs Szakacsits ( )   in July 2006 .		
	The first stable version was released on 2007-02-21 as version 1.0 .		
Tuxera Inc. EntityMentionSEP	The developers of NTFS-3G later formed a company   Tuxera Inc.   to further develop the code .	NA	 WikiLabelSEP
	"NTFS-3G is now the free "" community edition ""   while Tuxera NTFS is the proprietary version ."		
	NTFS-3G supports all operations for writing files : files of any size can be created   modified   renamed   moved   or deleted on NTFS partitions .		
encryption EntityMentionSEP	is supported   but there is no support for encryption .	NA	ing File System WikiLabelSEP
access control list EntityMentionSEP	Support to modify access control list s and s is available .	NA	control list WikiLabelSEP
mounted EntityMentionSEP Filesystem in Userspace EntityMentionSEP	NTFS partitions are mounted using the Filesystem in Userspace ( FUSE ) interface .	NA NA	computing) WikiLabelSEP tem in Userspace WikiLabelSEP
man page EntityMentionSEP	According to its man page   NTFS-3G supports and .	Q9907	e WikiLabelSEP
journaling EntityMentionSEP	NTFS-3G supports partial NTFS journaling   so if an unexpected computer failure leaves the file system in an inconsistent state   the volume can be repaired .	NA	ing file system WikiLabelSEP
	As of 2009   a volume having an unclean journal file is recovered and mounted by default .		
	The ‘ norecover ’ mount option can be used to disable this behavior .		
FUSE EntityMentionSEP	Benchmarks show that the driver 's performance via FUSE	NA	tem in Userspace WikiLabelSEP
Rugby union EntityMentionSEP Asia EntityMentionSEP Asian Rugby Football Union EntityMentionSEP	Rugby union is a growing sport in Asia   governed by the Asian Rugby Football Union ( ARFU ) .	Q7039370 NA NA	nion WikiLabelSEP  WikiLabelSEP ugby Football Union WikiLabelSEP
International Rugby Board EntityMentionSEP	there are 28 ARFU member unions   of whom 15 are full members of the International Rugby Board ( IRB )   and six further associate members of the IRB in Asia .	NA	tional Rugby Board WikiLabelSEP
Asian Five Nations EntityMentionSEP 2008 EntityMentionSEP 2011 EntityMentionSEP Hong Kong EntityMentionSEP national team EntityMentionSEP Japan EntityMentionSEP Kazakhstan EntityMentionSEP Sri Lanka EntityMentionSEP UAE EntityMentionSEP	The flagship tournament for promoting the sport in Asia is the Asian Five Nations   which launched in 2008   and which most recently in 2011 saw the national teams of Hong Kong ( national team )   Japan ( national team )   Kazakhstan ( national team )   Sri Lanka ( national team ) and the UAE   compete in the main tournament .	NA NA Q225579 NA NA NA Q231416 NA Q217485 NA NA	ive Nations WikiLabelSEP ian Five Nations WikiLabelSEP ng WikiLabelSEP ng national rugby union team WikiLabelSEP  WikiLabelSEP ational rugby union team WikiLabelSEP tan WikiLabelSEP tan national rugby union team WikiLabelSEP ka WikiLabelSEP ka national rugby union team WikiLabelSEP Arab Emirates national rugby union team WikiLabelSEP
	The sport in Asia is currently dominated by Japan   the only Asian nation to be represented on the IRB 's executive council .		
Rugby World Cup EntityMentionSEP	The Japanese national team are so far the only Asian team to have competed in the Rugby World Cup   having appeared in all seven tournaments so far .	NA	orld Cup WikiLabelSEP
2019 Rugby World Cup EntityMentionSEP	Japan have been announced as the hosts of the 2019 Rugby World Cup   and will be the first Asian hosts of the tournament .	NA	gby World Cup WikiLabelSEP
Singapore EntityMentionSEP	Under the Japanese bid   Hong Kong and Singapore will also host matches .	Q611130	re WikiLabelSEP
International Rugby Board EntityMentionSEP Oceania EntityMentionSEP Arabian Gulf team EntityMentionSEP Bahrain EntityMentionSEP Kuwait EntityMentionSEP Oman EntityMentionSEP Saudi Arabia EntityMentionSEP United Arab Emirates EntityMentionSEP	Sixteen Asian teams are full members of the International Rugby Board   though one ( Guam ) is arguably in Oceania   whilst the Arabian Gulf team [ sic ] represents five countries ; Bahrain   Kuwait   Oman   Saudi Arabia and the United Arab Emirates .	NA NA NA Q7278701 NA	tional Rugby Board WikiLabelSEP  WikiLabelSEP  Gulf rugby union team WikiLabelSEP rabia WikiLabelSEP Arab Emirates WikiLabelSEP
	The full list is :		
	There are also six Asian associate members of the IRB :		
	Like Georgia and Russia   and as in   Armenia   Azerbaijan and Israel play in Europe   though Kazakhstan does not .		
	=== 1991 World Cup ===		
1987 WC EntityMentionSEP	The 1991 World Cup was the first to operate a qualification system   the 1987 WC having been invitation-only .	NA	gby World Cup WikiLabelSEP
Oceania EntityMentionSEP	In the qualifying stage   Asia was combined with Oceania and given two berths .	NA	 WikiLabelSEP
Tonga EntityMentionSEP Western Samoa EntityMentionSEP Australia EntityMentionSEP Fiji EntityMentionSEP New Zealand EntityMentionSEP	Only four countries took part ; Japan   South Korea   Tonga and Western Samoa ( Australia   Fiji and New Zealand were automatic qualifiers ) .	NA NA NA NA	ational rugby union team WikiLabelSEP ia national rugby union team WikiLabelSEP tional rugby union team WikiLabelSEP land national rugby union team WikiLabelSEP
	Played as a four-team round-robin   Western Samoa and Japan finished first and second respectively courtesy of Japan 's 28-16 win over Tonga   with the Japanese becoming the first Asian team to appear at the World Cup .		
Zimbabwe EntityMentionSEP	Although they lost their first two games and did not qualify for the quarter-finals   Japan secured third spot in with a 52-8 win over Zimbabwe .	NA	e national rugby union team WikiLabelSEP
1995 WC EntityMentionSEP	For the 1995 WC   Asia held its own tournament   with the winner qualifying for the finals .	NA	gby World Cup WikiLabelSEP
Hong Kong EntityMentionSEP Malaysia EntityMentionSEP Singapore EntityMentionSEP Sri Lanka EntityMentionSEP Taiwan EntityMentionSEP Thailand EntityMentionSEP	This time eight countries entered ( Hong Kong   Japan   Malaysia   Singapore   South Korea   Sri Lanka   Taiwan and Thailand )   and were split into two groups   with the winners of each group playing each other for the single qualification berth .	NA NA NA NA NA NA	ng national rugby union team WikiLabelSEP a national rugby union team WikiLabelSEP re national rugby union team WikiLabelSEP ka national rugby union team WikiLabelSEP  Taipei national rugby union team WikiLabelSEP d national rugby union team WikiLabelSEP
	The final play-off saw Japan beat South Korea 26-11 .		
	The group stages showed the inequalities in the Asian game ; Japan won 103-9 against Malaysia   whilst Hong Kong thrashed Singapore 164-13 .		
	The World Cup itself did little to showcase Asian rugby   as Japan lost every game   including a humiliating 145-17 defeat against the All Blacks .		
1999 WC EntityMentionSEP	For the 1999 WC   Asia was given an extra qualification spot   albeit a repechage one .	NA	gby World Cup WikiLabelSEP
	The same eight countries entered the qualification stages   but to avoid the scorelines witnessed in the previous competition   it was held on a three-stage basis ; Singapore   Sri Lanka and Thailand competing in the first round-robin ( with Sri Lanka going through ) ; Malaysia   Sri Lanka and Taiwan in the second round ( with Taiwan progressing ) ; and then Hong Kong   Japan   South Korea and Taiwan in the third round .		
	Japan again emerged victorious   with a 134-6 win over Taiwan going some way to regain the pride lost in the finals in South Africa four years earlier .		
Holland EntityMentionSEP	South Korea took part in the repechage   beating Holland 108-45 on aggregate in the first round   before losing 140-41 over two legs to Tonga .	NA	ands national rugby union team WikiLabelSEP
	Japan once again lost all their games in the World Cup proper .		
2003 WC EntityMentionSEP	Asia retained its single berth plus repechage spot ( vs. Oceania ) in the 2003 WC qualifiers .	NA	gby World Cup WikiLabelSEP
Arabian Gulf EntityMentionSEP China EntityMentionSEP Kazakhstan EntityMentionSEP	This time   eleven teams took part   with the Arabian Gulf   China and Kazakhstan joining the fray .	NA NA NA	 Gulf rugby union team WikiLabelSEP ational rugby union team WikiLabelSEP tan national rugby union team WikiLabelSEP
	Before Japan and South Korea entered the competition   the other nine teams were split into three round-robin pools   with the winners ( China   Hong Kong and Taiwan ) then playing another round-robin with the top team ( Taiwan ) going on to the final pool with Japan and South Korea   which would decide the automatic and repechage qualifying spots .		
	Japan again emerged victorious   beating their previous score against Taiwan in a 155-3 win at home ( their largest ever win )   followed by a 120-3 scoreline in the away match .		
	South Korea again finished second   also thrashing Taiwan 119-7   and repeated their previous repechage performance   losing 194-0 over two legs to the Tongans .		
2007 WC EntityMentionSEP Guam EntityMentionSEP India EntityMentionSEP	Thirteen teams competed in the Asian qualifying tournament for the 2007 WC   Guam and India joining the competition for the first time .	NA NA NA	gby World Cup WikiLabelSEP tional rugby union team WikiLabelSEP ational rugby union team WikiLabelSEP
	"Another new format was tried ; this one more complex than previously ; The first round   played in 2005   consisted of four "" divisions "" ; 1   2   3a and 3b ."		
	In the second round   the top two of Division One ( 2005 ) and the winner of Division Two ( 2005 ) would form Division One ( 2006 )   whilst the bottom team of Division One ( 2005 )   the second ( of three ) in Division Two ( 2005 )   and the winner of a play-off between the Division 3a ( 2005 ) and Division 3b ( 2005 ) champions would form Division Two ( 2006 ) .		
	In the third round   the top two from Division One ( 2006 ) and the winner of Division Two ( 2006 ) would play a round-robin to decide the final placings .		
	Hong Kong   Japan and Korea formed Division One ( 2005 )   with Hong Kong finishing bottom and replaced by Arabian Gulf   who had won Division Two ( 2005 ) .		
	Taiwan finished bottom of Division Two   and were replaced by Sri Lanka   winners of the 3a-3b play-off over Kazakhstan .		
	In the second round   Arabian Gulf finished bottom of Division One ( 2006 )   and were replaced in the final round by Hong Kong   who won Division Two ( 2006 ) .		
Wellington EntityMentionSEP	In the final group   Japan again emerged victorious   sealing their place at the World Cup with a comprehensive 54-0 defeat of South Korea   who went on to lose to the Tongans for the third successive time   this time 85-3 in a one-off match in Wellington	Q11247037	ton WikiLabelSEP
Bermudian EntityMentionSEP cricket EntityMentionSEP	Timothy James Hemp ( born 12 April 1974 ) is a former Bermudian cricket er .	NA NA	phics of Bermuda WikiLabelSEP  WikiLabelSEP
medium pace EntityMentionSEP	Hemp was a right-handed who bowled right-arm medium pace .	NA	wling WikiLabelSEP
Hamilton EntityMentionSEP Bermuda EntityMentionSEP	He was born at Hamilton   Bermuda .	NA NA	n, Bermuda WikiLabelSEP  WikiLabelSEP
Wales Minor Counties EntityMentionSEP Dorset EntityMentionSEP	Hemp made his debut for Wales Minor Counties in the 1995 against Dorset .	NA NA	inor Counties Cricket Club WikiLabelSEP County Cricket Club WikiLabelSEP
Cheshire EntityMentionSEP	He made twelve further Minor Counties Championship appearances for the team   the last of which came against Cheshire in 1999 .	NA	e County Cricket Club WikiLabelSEP
MCCA Knockout Trophy EntityMentionSEP Cornwall EntityMentionSEP	His MCCA Knockout Trophy debut for the team came in 1996 against Cornwall .	NA NA	ockout Trophy WikiLabelSEP l County Cricket Club WikiLabelSEP
Warwickshire Cricket Board EntityMentionSEP	He represented the team in a total of five MCCA Knockout Trophy matches   the last of which came against the Warwickshire Cricket Board in 1999 .	NA	shire Cricket Board WikiLabelSEP
List A EntityMentionSEP 1999 NatWest Trophy EntityMentionSEP Somerset EntityMentionSEP Andrew Caddick EntityMentionSEP	His only List A appearance for the team came in the 3rd round of the 1999 NatWest Trophy against Somerset   scoring a single run before being dismissed by Andrew Caddick .	Q5375 NA NA Q5016292	cricket WikiLabelSEP tWest Trophy WikiLabelSEP t County Cricket Club WikiLabelSEP Caddick WikiLabelSEP
David EntityMentionSEP One Day International EntityMentionSEP Twenty20 EntityMentionSEP first-class cricket EntityMentionSEP Warwickshire EntityMentionSEP Glamorgan EntityMentionSEP	His brother   David   played One Day International and Twenty20 cricket for   as well as playing first-class cricket for Warwickshire and Glamorgan	NA Q2292662 NA NA NA NA	emp WikiLabelSEP  International WikiLabelSEP 0 International WikiLabelSEP lass cricket WikiLabelSEP shire County Cricket Club WikiLabelSEP an County Cricket Club WikiLabelSEP
Château EntityMentionSEP Oiron EntityMentionSEP Deux-Sèvres EntityMentionSEP France EntityMentionSEP	The Château d'Oiron is located in Oiron   in the Deux-Sèvres of western France .	NA NA	 WikiLabelSEP vres WikiLabelSEP
Charles VII of France EntityMentionSEP Guillaume Gouffier EntityMentionSEP Touraine EntityMentionSEP	It has its origins in the 15th century war with the English for control of France when a victorious Charles VII of France gave the domain and great forest of Oiron to Guillaume Gouffier who became governor of Touraine .	NA NA Q9907	 VII of France WikiLabelSEP me Gouffier, seigneur de Bonnivet WikiLabelSEP e WikiLabelSEP
Charles Perrault EntityMentionSEP Puss in Boots EntityMentionSEP	This château is the background for Charles Perrault 's fairy tale   Puss in Boots .	Q399501 NA	 Perrault WikiLabelSEP  Boots WikiLabelSEP
King Louis XIV EntityMentionSEP	King Louis XIV 's mistress   was one of the residents in the place .	NA	IV of France WikiLabelSEP
Val de Loire EntityMentionSEP	Today   Oiron is only a short drive from the royal châteaux in the Val de Loire   but in the 15th century it was considered far removed from the seat of power at the royal domains .	Q1251403	alley WikiLabelSEP
	Nonetheless   Guillaume Gouffier built a magnificent château and his offspring updated and improved it .		
	In 1538   his daughter-in-law     was responsible for the construction of a collegiate church adjacent to the château .		
Henry II EntityMentionSEP Claude Gouffier EntityMentionSEP	In 1551   Henry II and his entire court were guests of Claude Gouffier who had been granted the title Marquis de Caravaz .	NA Q384972	I of France WikiLabelSEP Gouffier WikiLabelSEP
Claude Gouffier EntityMentionSEP	"Claude Gouffier served as the model for Charles Perrault 's "" Marquis de Carabas "" in his story   Puss in Boots ."	Q384972	Gouffier WikiLabelSEP
Cardinal Richelieu EntityMentionSEP	Two generations later   another Gouffier was exiled from the king 's court by Cardinal Richelieu in 1620 .	NA	l Richelieu WikiLabelSEP
Blaise Pascal EntityMentionSEP	In the mid 17th century   Charlotte Gouffier became enamored with the renowned intellect   Blaise Pascal ( 1623 -- 62 )   who spent considerable time at the Château d'Oiron .	Q102072	Pascal WikiLabelSEP
Francois d'Aubusson , the duc de La Feuillade EntityMentionSEP Louis XIV EntityMentionSEP	After Pascal died   Charlotte Gouffier married Francois d'Aubusson   the duc de La Feuillade   who enhanced the castle with his wealth and connections to Louis XIV .	NA NA	s d'Aubusson de La Feuillade WikiLabelSEP IV of France WikiLabelSEP
Renaissance EntityMentionSEP	With the renovations   the castle ended up with a main building and two long projecting wings   one of which is a Renaissance structure built over a cloister .	Q355569	ance WikiLabelSEP
	One of the galleries contains one of the most prestigious works of art from the French Renaissance period .		
Louis XIV 's EntityMentionSEP	The Duc de La Feuillade 's son sold the château to Louis XIV 's mistress   who lived there for the rest of her life .	NA	IV of France WikiLabelSEP
	Her son had little interest in the property as he preferred to be much closer to the royal court so in 1736 he sold the château to the .		
Revolutionaries EntityMentionSEP	After that   the château went into severe decline and in 1793 was ransacked by Revolutionaries .	Q10931	Revolution WikiLabelSEP
World War II EntityMentionSEP	For many years the château lay abandoned until the government of France took possession just before World War II eventually converting it to a museum .	NA	ar II WikiLabelSEP
	Recognized world wide   the museum is dedicated to contemporary art .		
	In 1993   The Year of Solar Burns was commissioned by the for permanent installation in the Château d'Oiron .		
monument historique EntityMentionSEP	The château has been listed as a monument historique	NA	t historique WikiLabelSEP
Dewsbury EntityMentionSEP English EntityMentionSEP rugby league EntityMentionSEP coach EntityMentionSEP Great Britain EntityMentionSEP England EntityMentionSEP Yorkshire EntityMentionSEP Hull EntityMentionSEP Bramley EntityMentionSEP Batley EntityMentionSEP captain EntityMentionSEP 1965 -- 66 EntityMentionSEP 1966 -- 67 EntityMentionSEP 1967 -- 68 EntityMentionSEP 1968 -- 69 EntityMentionSEP 1969 -- 70 EntityMentionSEP 1970 -- 71 EntityMentionSEP Duke of Wellington 's Regiment EntityMentionSEP	"Arthur "" Ollie "" Keegan ( born 6 November 1938 in Dewsbury district -- died 3 November 2008 ) was an English professional rugby league footballer of the 1950s   '60s and '70s   and coach of the 1970s   playing at representative level for Great Britain   England   and Yorkshire   and at club level for Hull   Bramley   and Batley   as a   i.e. number 1   and was captain of Hull during the 1965 -- 66   1966 -- 67   1967 -- 68   1968 -- 69   1969 -- 70   and 1970 -- 71 seasons   and coaching at representative level for Yorkshire   and at club level for Bramley   whilst serving in the Duke of Wellington 's Regiment ."	Q9973 Q2472587 NA NA NA NA NA Q5005972 NA NA NA NA NA	y WikiLabelSEP  people WikiLabelSEP eague WikiLabelSEP sport) WikiLabelSEP ritain national rugby league team WikiLabelSEP  national rugby league team WikiLabelSEP eague War of the Roses WikiLabelSEP C. WikiLabelSEP  Buffaloes WikiLabelSEP Bulldogs WikiLabelSEP  (sports) WikiLabelSEP  Northern Rugby Football League season WikiLabelSEP  Wellington's Regiment WikiLabelSEP
England EntityMentionSEP Great Britain EntityMentionSEP	Arthur Keegan won caps for England while at Hull in 1969 against Wales   and France   and won caps for Great Britain while at Hull in 1966 against Australia ( 2 matches )   in 1967 against France ( 2 matches )   and Australia ( 3 matches )   in 1968 against France   and in 1969 against France .	NA NA	 national rugby league team WikiLabelSEP ritain national rugby league team WikiLabelSEP
Hull EntityMentionSEP Wigan EntityMentionSEP Challenge Cup EntityMentionSEP Wembley Stadium EntityMentionSEP	Arthur Keegan played   and scored five s in Hull 's 13-30 defeat to Wigan in the Challenge Cup final at Wembley Stadium	Q5005972 NA NA NA	C. WikiLabelSEP arriors WikiLabelSEP ge Cup WikiLabelSEP  Stadium (1923) WikiLabelSEP
Iowa EntityMentionSEP United States House of Representatives EntityMentionSEP	Iowa 's 10th congressional district existed from 1883 to 1933   when Iowa sent eleven congressmen to the United States House of Representatives .	NA NA	 WikiLabelSEP States House of Representatives WikiLabelSEP
	"The district   known as "" The Big Tenth   "" covered large areas of north-central Iowa ."		
Worth EntityMentionSEP Cerro Gordo EntityMentionSEP Franklin EntityMentionSEP Hardin EntityMentionSEP Story EntityMentionSEP Wright EntityMentionSEP Hamilton EntityMentionSEP Humboldt EntityMentionSEP Hancock EntityMentionSEP Kossuth EntityMentionSEP Winnebago EntityMentionSEP Webster EntityMentionSEP Boone EntityMentionSEP	From 1883 to 1886   the district included the north-central Iowa counties of Worth   Cerro Gordo   Franklin   Hardin   Story   Wright   Hamilton   Humboldt   Hancock   Kossuth   Winnebago   Webster   and Boone .	NA NA NA NA NA NA NA	ounty, Iowa WikiLabelSEP ordo County, Iowa WikiLabelSEP n County, Iowa WikiLabelSEP County, Iowa WikiLabelSEP t County, Iowa WikiLabelSEP  County, Iowa WikiLabelSEP go County, Iowa WikiLabelSEP
	Reapportionment in 1886 reflected the increasing population balance between eastern and western Iowa   resulting in a westward shift of the district 's boundaries .		
